Number,Japanese,English
0914,ウェーニバル,Quaquaval
0915,グルトン,Lechonk
0916,パフュートン,Oinkologne
0917,タマンチュラ,Tarountula
0918,ワナイダー,Spidops
0919,マメバッタ,Nymble
0920,エクスレッグ,Lokix
0921,パモ,Pawmi
0922,パモット,Pawmo
0923,パーモット,Pawmot
0924,ワッカネズミ,Tandemaus
0925,イッカネズミ,Maushold
0926,パピモッチ,Fidough
0927,バウッツェル,Dachsbun
0928,ミニーブ,Smoliv
0929,オリーニョ,Dolliv
0930,オリーヴァ,Arboliva
0931,イキリンコ,Squawkabilly
0932,コジオ,Nacli
0933,ジオヅム,Naclstack
0934,キョジオーン,Garganacl
0935,カルボウ,Charcadet
0936,グレンアルマ,Armarouge
0937,ソウブレイズ,Ceruledge
0938,ズピカ,Tadbulb
0939,ハラバリー,Bellibolt
0940,カイデン,Wattrel
0941,タイカイデン,Kilowattrel
0942,オラチフ,Maschiff
0943,マフィティフ,Mabosstiff
0944,シルシュルー,Shroodle
0945,タギングル,Grafaiai
0946,アノクサ,Bramblin
0947,アノホラグサ,Brambleghast
0948,ノノクラゲ,Toedscool
0949,リククラゲ,Toedscruel
0950,ガケガニ,Klawf
0951,カプサイジ,Capsakid
0952,スコヴィラン,Scovillain
0953,シガロコ,Rellor
0954,ベラカス,Rabsca
0955,ヒラヒナ,Flittle
0956,クエスパトラ,Espathra
0957,カヌチャン,Tinkatink
0958,ナカヌチャン,Tinkatuff
0959,デカヌチャン,Tinkaton
0960,ウミディグダ,Wiglett
0961,ウミトリオ,Wugtrio
0962,オトシドリ,Bombirdier
0963,ナミイルカ,Finizen
0964,イルカマン,Palafin
0965,ブロロン,Varoom
0966,ブロロローム,Revavroom
0967,モトトカゲ,Cyclizar
0968,ミミズズ,Orthworm
0969,キラーメ,Glimmet
0970,キラフロル,Glimmora
0971,ボチ,Greavard
0972,ハカドッグ,Houndstone
0973,カラミンゴ,Flamigo
0974,アルクジラ,Cetoddle
0975,ハルクジラ,Cetitan
0976,ミガルーサ,Veluza
0977,ヘイラッシャ,Dondozo
0978,シャリタツ,Tatsugiri
0979,コノヨザル,Annihilape
0980,ドオー,Clodsire
0981,リキキリン,Farigiraf
0982,ノココッチ,Dudunsparce
0983,ドドゲザン,Kingambit
0984,イダイナキバ,Great Tusk
0985,サケブシッポ,Scream Tail
0986,アラブルタケ,Brute Bonnet
0987,ハバタクカミ,Flutter Mane
0988,チヲハウハネ,Slither Wing
0989,スナノケガワ,Sandy Shocks
0990,テツノワダチ,Iron Treads
0991,テツノツツミ,Iron Bundle
0992,テツノカイナ,Iron Hands
0993,テツノコウベ,Iron Jugulis
0994,テツノドクガ,Iron Moth
0995,テツノイバラ,Iron Thorns
0996,セビエ,Frigibax
0997,セゴール,Arctibax
0998,セグレイブ,Baxcalibur
0999,コレクレー,Gimmighoul
1000,サーフゴー,Gholdengo
1001,チオンジェン,Wo-Chien
1002,パオジアン,Chien-Pao
1003,ディンルー,Ting-Lu
1004,イーユイ,Chi-Yu
1005,トドロクツキ,Roaring Moon
1006,テツノブジン,Iron Valiant
1007,コライドン,Koraidon
1008,ミライドン,Miraidon
1009,ウネルミナモ,Walking Wake
1010,テツノイサハ,Iron Leaves
1011,カミッチュ,Dipplin
1012,チャデス,Poltchageist
1013,ヤバソチャ,Sinistcha
1014,イイネイヌ,Okidogi
1015,マシマシラ,Munkidori
1016,キチキギス,Fezandipiti
1017,オーガポン,Ogerpon
1018,ブリジュラス,Archaludon
1019,カミツオロチ,Hydrapple
1020,ウガツホムラ,Gouging Fire
1021,タケルライコ,Raging Bolt
1022,テツノイワオ,Iron Boulder
1023,テツノカシラ,Iron Crown
1024,テラパゴス,Terapagos
1025,モモワロウ,Pecharunt
